hsa_id,name,ownership,address,street,postal_code,city,lan_code,lat,lon,has_coordinates,phone,phone_international,care_type_tags,url_1177,coord_source,fetched_at
SE2321000115-O74159,"Adhd-mottagningen, Halmstad",Region,"Vindrosvägen 4, Halmstad",Vindrosvägen 4,,Halmstad,13,56.6671970282167,12.8565178999937,True,035-13 48 87,+4635134887,Bup;,https://www.1177.se/hitta-vard/kontaktkort/Adhd-mottagningen-Halmstad/,1177_api_2026-08-26,2026-08-26
SE2321000131-E000000012812,"Akutmottagning BUP NÄL, Trollhättan",Region,"Lärketorpsvägen 20, 461 73, Trollhättan",Lärketorpsvägen 20,461 73,Trollhättan,14,58.3187559541827,12.2674727782447,True,010-435 17 00,+46104351700,Bup;,https://www.1177.se/hitta-vard/kontaktkort/Akutmottagning-BUP-NAL-Trollhattan/,1177_api_2026-08-26,2026-08-26
SE2321000131-E000000010868,"Akutmottagning BUP, Borås",Region,"Brämhultsvägen 53, 504 55, Borås",Brämhultsvägen 53,504 55,Borås,14,57.7245807823562,12.964097191844,True,033-616 20 90,+46336162090,Bup;,https://www.1177.se/hitta-vard/kontaktkort/Akutmottagning-BUP-Boras/,1177_api_2026-08-26,2026-08-26
SE162321000024-0036179,"Akutmottagningen för barn- och ungdomspsykiatri, Uppsala",Region,"Akademiska sjukhuset, Ingång 10",Akademiska sjukhuset,,Ingång 10,03,59.8518274035758,17.6377033634014,True,018-611 25 42,+46186112542,Bup;,https://www.1177.se/hitta-vard/kontaktkort/Akutmottagningen-for-barn-och-ungdomspsykiatri-Uppsala/,1177_api_2026-08-26,2026-08-26
SE2321000065-7330028047767,"Akutpsykiatriska avdelningen barn unga vuxna, Växjö",Region,"Sigfridsområdet, Jacob Lundhs väg 4, 352 57 Växjö",Sigfridsområdet,352 57,Växjö,07,56.8678950790684,14.8257844035587,True,0470-58 61 00,+46470586100,Bup;,https://www.1177.se/hitta-vard/kontaktkort/Akutpsykiatriska-avdelningen-barn-unga-vuxna-Vaxjo/,1177_api_2026-08-26,2026-08-26
SE2321000040-8V9B,"Aleris BUP Linköping, Aleris Psykiatri",Privat,"S:t Larsgatan 3 (våning 5), Linköping",S:t Larsgatan 3 (våning 5),,Linköping,05,58.4165070264224,15.6229791332187,True,010-173 17 40,+46101731740,Bup;,https://www.1177.se/hitta-vard/kontaktkort/Aleris-BUP-Linkoping-Aleris-Psykiatri/,1177_api_2026-08-26,2026-08-26
SE2321000040-8V9C,"Aleris BUP Norrköping, Aleris Psykiatri",Privat,"Slottsgatan 69 (våning 3), Norrköping",Slottsgatan 69 (våning 3),,Norrköping,05,58.5958292269562,16.191919601117,True,010-173 17 40,+46101731740,Bup;,https://www.1177.se/hitta-vard/kontaktkort/Aleris-BUP-Norrkoping-Aleris-Psykiatri/,1177_api_2026-08-26,2026-08-26
SE162321000024-0055302,"Alex Psykiatri & Terapi AB, Uppsala",Privat,"Drottninggatan 12, Uppsala",Drottninggatan 12,,Uppsala,03,59.8566861070523,17.6350076024455,True,073-408 09 34,+46734080934,Bup;,https://www.1177.se/hitta-vard/kontaktkort/Alex-Psykiatri-och-Terapi-AB-Uppsala/,1177_api_2026-08-26,2026-08-26
SE2321000065-7330028127896,"Allmänpsykiatrin småbarn 0-6 år, Växjö",Region,"Västra Esplanaden 9 A, 351 85 Växjö",Västra Esplanaden 9 A,351 85,Växjö,07,56.8812789055061,14.8012715086598,True,0470-58 61 10,+46470586110,"Psykologverksamhet, barn och ungdom;1033;Bup;",https://www.1177.se/hitta-vard/kontaktkort/Allmanpsykiatrin-smabarn-0-6-ar-Vaxjo/,1177_api_2026-08-26,2026-08-26
SE2321000065-7330028003138,"Allmänpsykiatriska mottagningen barn och unga Ljungby, Ljungby",Region,"Kungshögsgatan 25, Ljungby",Kungshögsgatan 25,,Ljungby,07,56.8353449689204,13.9352136498297,True,0372-58 59 20,+46372585920,"Psykologverksamhet, barn och ungdom;1033;Bup;",https://www.1177.se/hitta-vard/kontaktkort/Allmanpsykiatriska-mottagningen-barn-och-unga-Ljungby-Ljungby/,1177_api_2026-08-26,2026-08-26
SE2321000065-7330028070499,"Allmänpsykiatriska mottagningen barn och unga Växjö, Växjö",Region,"Västra Esplanaden 9 A, Växjö",Västra Esplanaden 9 A,,Växjö,07,56.8812789055061,14.8012715086598,True,0470-58 61 10,+46470586110,"Psykologverksamhet, barn och ungdom;1033;Bup;",https://www.1177.se/hitta-vard/kontaktkort/Allmanpsykiatriska-mottagningen-barn-och-unga-Vaxjo-Vaxjo/,1177_api_2026-08-26,2026-08-26
SE2321000057-4PW1,Anorexienheten Länssjukhuset Ryhov,Region,,,,,06,57.7699739645534,14.1979900318023,True,010-242 31 32,+46102423132,Bup;,https://www.1177.se/hitta-vard/kontaktkort/Anorexienheten-Lanssjukhuset-Ryhov/,1177_api_2026-08-26,2026-08-26
