hsaId,name,ownership,isFamiljecentral,address,phone,lat,lon,lanCode,kommunCode,kommungrupp,unitCode,spark_startYear,spark_endYear,spark_weightedDemand,spark_rj,spark_children05,url_1177,coord_source,spark_verify_1177,fetched_at
SE2321000016-4HS6,SLSO Solna barnavårdscentral,Region,False,"Hotellgatan 3, Solna",08-123 409 00,59.3588611,17.9999939,01,0184,A,01_16104009001,2024,2024,15015,6.7e-05,2529,https://www.1177.se/hitta-vard/kontaktkort/Solna-BVC/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000016-1570,SLSO Kallhälls barnavårdscentral,Region,True,"Kopparvägen 2B, Järfälla",08-123 409 10,59.4547593,17.8084891,01,0123,A,01_16138009M01,2023,2024,3251,0.000308,1191,https://www.1177.se/hitta-vard/kontaktkort/Kallhalls-BVC/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000016-3B0X,(Haninge)Jordbro vårdcentral,Region,True,"Rudsjöterrassen 1, Handen",08-123 368 70,59.1661975,18.1352453,01,0136,A,01_11335009000,2021,2023,2747,0.000364,4395,https://www.1177.se/hitta-vard/kontaktkort/Haninge-BVC/,,live_2026-07-21,2026-08-26
SE2321000016-130M,Capio Bro VC,Privat,True,"Bro Centrum 41, BRO",08-120 010 51,59.5154238,17.6438209,01,0139,A,01_16103009000,2022,2023,1966,0.000509,1188,https://www.1177.se/hitta-vard/kontaktkort/Barnvardcentralen-Capio-Vardcentral-Bro/,,live_2026-07-21,2026-08-26
SE2321000016-67LH,Märsta Närvård,Privat,False,"Cederströms slinga 17, ARLANDASTAD",08-122 040 32,59.6080474,17.8975798,01,0191,A,01_16109009100,2019,2023,3819,0.000262,287,https://www.1177.se/hitta-vard/kontaktkort/Din-Doktor-BVC-Marsta/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000016-154M,(Rissne) Hallonbergens vårdcentral,Region,False,"Kavallerivägen 24, Sundbyberg",08-123 369 41,59.3756581,17.94125,01,0183,A,01_16147009000,2018,2023,4072,0.000246,4831,https://www.1177.se/hitta-vard/kontaktkort/Rissne-BVC/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000016-54BM,Kista vårdcentral,Region,True,"Gullfossgatan 1C, KISTA",08-506 490 58,59.4039574,17.9475217,01,0180,A,01_17106009000,2018,2023,15363,6.5e-05,1326,https://www.1177.se/hitta-vard/kontaktkort/Mama-Mia-Kista-BVC/,1177_hsa_2026-07-21,live_2026-07-21,2026-08-26
SE2321000016-161N,Hässelby vårdcentral,Region,False,"Hässelby torg 20, Hässelby",08-123 428 97,59.3682272,17.8432349,01,0180,A,01_17118009000,2018,2023,7694,0.00013,2295,https://www.1177.se/hitta-vard/kontaktkort/Hasselby-BVC/,,live_2026-07-21,2026-08-26
SE2321000016-107K,Råcksta Vällingby Närvårdsmottagning,Region,True,"Vällingby torg 6, Vällingby",08-123 428 79,59.3622658,17.8731303,01,0180,A,01_17198009000,2021,2023,9985,0.0001,2162,https://www.1177.se/hitta-vard/kontaktkort/Vallingby-BVC/,,live_2026-07-21,2026-08-26
SE2321000016-160K,Rinkeby vårdcentral,Region,True,"Skårbygränd 3, Spånga",08-123 399 08,59.3887265,17.9275757,01,0180,A,01_17201009000,2013,2023,12711,7.9e-05,2504,https://www.1177.se/hitta-vard/kontaktkort/Rinkeby-BVC/,,live_2026-07-21,2026-08-26
