indicator,county_code,county_name,year,window,month,age_group,sex,value,count,suppressed
self_harm_hosp_per_100k,00,Sverige,2010,2008-2012,,12_14,K,101.5,,False
self_harm_hosp_per_100k,00,Sverige,2011,2009-2013,,12_14,K,100.6,,False
self_harm_hosp_per_100k,00,Sverige,2012,2010-2014,,12_14,K,106.5,,False
self_harm_hosp_per_100k,00,Sverige,2013,2011-2015,,12_14,K,110.1,,False
self_harm_hosp_per_100k,00,Sverige,2014,2012-2016,,12_14,K,112.2,,False
self_harm_hosp_per_100k,00,Sverige,2015,2013-2017,,12_14,K,119.7,,False
self_harm_hosp_per_100k,00,Sverige,2016,2014-2018,,12_14,K,127.4,,False
self_harm_hosp_per_100k,00,Sverige,2017,2015-2019,,12_14,K,137.8,,False
self_harm_hosp_per_100k,00,Sverige,2018,2016-2020,,12_14,K,153.8,,False
self_harm_hosp_per_100k,00,Sverige,2019,2017-2021,,12_14,K,187.3,,False
self_harm_hosp_per_100k,00,Sverige,2020,2018-2022,,12_14,K,220.7,,False
self_harm_hosp_per_100k,00,Sverige,2021,2019-2023,,12_14,K,251.8,,False
self_harm_hosp_per_100k,00,Sverige,2022,2020-2024,,12_14,K,275.8,,False
self_harm_hosp_per_100k,00,Sverige,2023,2021-2025,,12_14,K,298.7,,False
self_harm_hosp_per_100k,00,Sverige,2010,2008-2012,,12_14,M,25.3,,False
self_harm_hosp_per_100k,00,Sverige,2011,2009-2013,,12_14,M,24.4,,False
self_harm_hosp_per_100k,00,Sverige,2012,2010-2014,,12_14,M,24.7,,False
self_harm_hosp_per_100k,00,Sverige,2013,2011-2015,,12_14,M,24.1,,False
self_harm_hosp_per_100k,00,Sverige,2014,2012-2016,,12_14,M,24.1,,False
self_harm_hosp_per_100k,00,Sverige,2015,2013-2017,,12_14,M,26.0,,False
self_harm_hosp_per_100k,00,Sverige,2016,2014-2018,,12_14,M,27.3,,False
self_harm_hosp_per_100k,00,Sverige,2017,2015-2019,,12_14,M,28.7,,False
self_harm_hosp_per_100k,00,Sverige,2018,2016-2020,,12_14,M,31.4,,False
self_harm_hosp_per_100k,00,Sverige,2019,2017-2021,,12_14,M,31.8,,False
