Väntetider till barn- och ungdomspsykiatrin, Kontaktstatus: Genomförd, Fas: Första besök, Medianvärdet för väntetid, 50:e percentilen, Alla kön, Ålder: Alla åldrar
;2025;2025;2025;2025;2025;2025;2026;2026;2026;2026;2026;2026
Region;Juli;Augusti;September;Oktober;November;December;Januari;Februari;Mars;April;Maj;Juni
Alla regioner;28;30;19;20;21;21;28;21;21;25;24;23
Stockholm;30;22;19;21;16;19;16;17;19;24;25;25
Uppsala;27;10,5;5;7;7;14,5;21;17;14;23;15;14
Södermanland;111;102;98;78;64;67,5;72;90,5;96;136;115;110
Östergötland;26;49;23;22;24;24;28;23;24;27;26;20,5
Jönköping;28;22;20;21;24;24;33;25;27;28;22;22
Kronoberg;27;46,5;15;20,5;23;23;33;21;16,5;22;18;24
Kalmar;27;22;15;21;21;22;26;20;22,5;21,5;23;25
Gotland;25;8;14,5;14;14,5;14;23;21;18,5;21;26;25
Blekinge;20;11,5;11;17;N;N;22;14;15;18;20;15
Skåne;27;28;22;23;25;23;28;24;24;26;25;24
Halland;23;20;21;26;24;21;33;21;21;22;20,5;22
Västra Götaland;25;37,5;19;17;18;20;32;22;21;22;23;27
Värmland;29;44;18;12;13,5;13;25,5;21;27;27;21;20
Örebro;22,5;16,5;14;14,5;16;15,5;16;18,5;23;23;21;18
Västmanland;34;52;10;13;18;21;26,5;14;19;27;22;20,5
Dalarna;25;25;20;25;28;26;31;22;18;19;19;20
Gävleborg;40;34;21;20;24,5;25,5;29;24;26;27;23,5;27
Västernorrland;29;55;24;20,5;28;28;40;26;28;26,5;26;N
Jämtland Härjedalen;19,5;21;12;18;25;20;29;23;21;25;22,5;24
Västerbotten;41;48;91;86;72;71;70;80;55;66;72,5;59
Norrbotten;N;N;N;N;N;N;N;23;27;21;22;23
Socialstyrelsens statistikdatabas 2026-08-24
