code,name,region
0114,Upplands Väsby,Stockholm
0115,Vallentuna,Stockholm
0117,Österåker,Stockholm
0120,Värmdö,Stockholm
0123,Järfälla,Stockholm
0125,Ekerö,Stockholm
0126,Huddinge,Stockholm
0127,Botkyrka,Stockholm
0128,Salem,Stockholm
0136,Haninge,Stockholm
0138,Tyresö,Stockholm
0139,Upplands-Bro,Stockholm
0140,Nykvarn,Stockholm
0160,Täby,Stockholm
0162,Danderyd,Stockholm
0163,Sollentuna,Stockholm
0180,Stockholm,Stockholm
0181,Södertälje,Stockholm
0182,Nacka,Stockholm
0183,Sundbyberg,Stockholm
0184,Solna,Stockholm
0186,Lidingö,Stockholm
0187,Vaxholm,Stockholm
0188,Norrtälje,Stockholm
0191,Sigtuna,Stockholm
0192,Nynäshamn,Stockholm
0305,Håbo,Uppsala
0319,Älvkarleby,Uppsala
0330,Knivsta,Uppsala
0331,Heby,Uppsala
0360,Tierp,Uppsala
0380,Uppsala,Uppsala
0381,Enköping,Uppsala
0382,Östhammar,Uppsala
0428,Vingåker,Södermanland
0461,Gnesta,Södermanland
0480,Nyköping,Södermanland
0481,Oxelösund,Södermanland
0482,Flen,Södermanland
0483,Katrineholm,Södermanland
0484,Eskilstuna,Södermanland
0486,Strängnäs,Södermanland
0488,Trosa,Södermanland
0509,Ödeshög,Östergötland
0512,Ydre,Östergötland
0513,Kinda,Östergötland
0560,Boxholm,Östergötland
0561,Åtvidaberg,Östergötland
0562,Finspång,Östergötland
0563,Valdemarsvik,Östergötland
0580,Linköping,Östergötland
0581,Norrköping,Östergötland
0582,Söderköping,Östergötland
0583,Motala,Östergötland
0584,Vadstena,Östergötland
0586,Mjölby,Östergötland
0604,Aneby,Jönköping
0617,Gnosjö,Jönköping
0642,Mullsjö,Jönköping
0643,Habo,Jönköping
0662,Gislaved,Jönköping
0665,Vaggeryd,Jönköping
0680,Jönköping,Jönköping
0682,Nässjö,Jönköping
0683,Värnamo,Jönköping
0684,Sävsjö,Jönköping
0685,Vetlanda,Jönköping
0686,Eksjö,Jönköping
0687,Tranås,Jönköping
0760,Uppvidinge,Kronoberg
0761,Lessebo,Kronoberg
0763,Tingsryd,Kronoberg
0764,Alvesta,Kronoberg
0765,Älmhult,Kronoberg
0767,Markaryd,Kronoberg
0780,Växjö,Kronoberg
0781,Ljungby,Kronoberg
0821,Högsby,Kalmar
0834,Torsås,Kalmar
0840,Mörbylånga,Kalmar
0860,Hultsfred,Kalmar
0861,Mönsterås,Kalmar
0862,Emmaboda,Kalmar
0880,Kalmar,Kalmar
0881,Nybro,Kalmar
0882,Oskarshamn,Kalmar
0883,Västervik,Kalmar
0884,Vimmerby,Kalmar
0885,Borgholm,Kalmar
0980,Gotland,Gotland
1060,Olofström,Blekinge
1080,Karlskrona,Blekinge
1081,Ronneby,Blekinge
1082,Karlshamn,Blekinge
1083,Sölvesborg,Blekinge
1214,Svalöv,Skåne
1230,Staffanstorp,Skåne
1231,Burlöv,Skåne
1233,Vellinge,Skåne
1256,Östra Göinge,Skåne
1257,Örkelljunga,Skåne
1260,Bjuv,Skåne
1261,Kävlinge,Skåne
1262,Lomma,Skåne
1263,Svedala,Skåne
1264,Skurup,Skåne
1265,Sjöbo,Skåne
